0,PREREQUISITES FOR THE PRACTICAL TEST ENDORSEMENT,,,,
1,PREREQUISITES FOR THE PRACTICAL TEST ENDORSEMENT,"Prerequisites for practical test: Title 14 of the Code of Federal Regulations (14 CFR) part 61, § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=68a57376586cf7811701975891e85942&node=se14.2.61_139"">61.39</a>(a)(6)(i) and (ii).","I certify that [First name, MI, Last name] has received and logged training time within 2 calendar-months preceding the month of application in preparation for the practical test and [he or she] is prepared for the required practical test for the issuance of [applicable] certificate.",,
2,PREREQUISITES FOR THE PRACTICAL TEST ENDORSEMENT,"Review of deficiencies identified on airman knowledge test: § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=68a57376586cf7811701975891e85942&node=se14.2.61_139"">61.39</a>(a)(6)(iii) as required.","I certify that [First name, MI, Last name] has demonstrated satisfactory knowledge of the subject areas in which [he or she] was deficient on the [applicable] airman knowledge test.",,
0,STUDENT PILOT ENDORSEMENTS,,,,
3,STUDENT PILOT ENDORSEMENTS,"Pre-solo aeronautical knowledge: § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=0302064a30131188063a33d01779cb5e&node=se14.2.61_187"">61.87</a>(b).","I certify that [First name, MI, Last name] has satisfactorily completed the pre-solo knowledge test of § 61.87(b) for the [make and model] aircraft.",,
4,STUDENT PILOT ENDORSEMENTS,"Pre-solo flight training: § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=0302064a30131188063a33d01779cb5e&node=se14.2.61_187"">61.87</a>(c).","I certify that [First name, MI, Last name] has received and logged pre-solo flight training for the maneuvers and procedures that are appropriate to the [make and model] aircraft. I have determined [he or she] has demonstrated satisfactory proficiency and safety on the maneuvers and procedures required by § 61.87 in this or similar make and model of aircraft to be flown.",,
5,STUDENT PILOT ENDORSEMENTS,"Pre-solo flight training at night: § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=0302064a30131188063a33d01779cb5e&node=se14.2.61_187"">61.87</a>(c) and (o).","I certify that [First name, MI, Last name] has received flight training at night on night flying procedures that include takeoffs, approaches, landings, and go-arounds at night at the [airport name] airport where the solo flight will be conducted; navigation training at night in the vicinity of the [airport name] airport where the solo flight will be conducted. This endorsement expires 90 calendar-days from the date the flight training at night was received.",,
6,STUDENT PILOT ENDORSEMENTS,"Solo flight (first 90-day period): § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=0302064a30131188063a33d01779cb5e&node=se14.2.61_187"">61.87</a>(n).","I certify that [First name, MI, Last name] has received the required training to qualify for solo flying. I have determined [he or she] meets the applicable requirements of § 61.87(n) and is proficient to make solo flights in [make and model].",,
7,STUDENT PILOT ENDORSEMENTS,"Solo flight (each additional 90-day period): § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=0302064a30131188063a33d01779cb5e&node=se14.2.61_187"">61.87</a>(p).","I certify that [First name, MI, Last name] has received the required training to qualify for solo flying. I have determined that [he or she] meets the applicable requirements of § 61.87(p) and is proficient to make solo flights in [make and model].",,
8,STUDENT PILOT ENDORSEMENTS,"Solo takeoffs and landings at another airport within 25 nautical miles (NM): § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=0302064a30131188063a33d01779cb5e&node=se14.2.61_193"">61.93</a>(b)(1).","I certify that [First name, MI, Last name] has received the required training of § 61.93(b)(1). I have determined that [he or she] is proficient to practice solo takeoffs and landings at [airport name]. The takeoffs and landings at [airport name] are subject to the following conditions: [List any applicable conditions or limitations.]",,
9,STUDENT PILOT ENDORSEMENTS,"Solo cross-country flight: § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=0302064a30131188063a33d01779cb5e&node=se14.2.61_193"">61.93</a>(c)(1) and (2).","I certify that [First name, MI, Last name] has received the required solo cross-country training. I find [he or she] has met the applicable requirements of § 61.93, and is proficient to make solo cross-country flights in a [make and model] aircraft, [aircraft category].",,
10,STUDENT PILOT ENDORSEMENTS,"Solo cross-country flight: § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=0302064a30131188063a33d01779cb5e&node=se14.2.61_193"">61.93</a>(c)(3).","I have reviewed the cross-country planning of [First name, MI, Last name]. I find the planning and preparation to be correct to make the solo flight from [origination airport] to [origination airport] via [route of flight] with landings at [names of the airports] in a [make and model] aircraft on [date]. [List any applicable conditions or limitations.]",,
11,STUDENT PILOT ENDORSEMENTS,"Repeated solo cross-country flights not more than 50 NM from the point of departure: § <a target=""farwin"" href=""https://www.ecfr.gov/cgi-bin/text-idx?SID=0302064a30131188063a33d01779cb5e&node=se14.2.61_193"">61.93</a>(b)(2).","I certify that [First name, MI, Last name] has received the required training in both directions between and at both [airport names]. I have determined that [he or she] is proficient of § 61.93(b)(2) to conduct repeated solo cross-country flights over that route, subject to the following conditions: [List any applicable conditions or limitations.]",,
